,term,int_rate,grade,sub_grade,emp_title,emp_length,home_ownership,verification_status,issue_d,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,earliest_cr_line,revol_util,initial_list_status,last_pymnt_d,next_pymnt_d,last_credit_pull_d,application_type,verification_status_joint,sec_app_earliest_cr_line,hardship_flag,hardship_type,hardship_reason,hardship_status,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_loan_status,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date
89, 36 months,12.79%,C,C1,First Sergeant,10+ years,RENT,Source Verified,Sep-16,n,https://lendingclub.com/browse/loanDetail.action?loan_id=89032720,,medical,,422xx,KY,Nov-94,52.20%,w,Aug-17,,Jul-18,Individual,,,N,,,,,,,,N,,,
90, 36 months,13.99%,C,C3,Executive Director,2 years,MORTGAGE,Source Verified,Oct-16,n,https://lendingclub.com/browse/loanDetail.action?loan_id=92239741,,debt_consolidation,Debt consolidation,217xx,MD,Jul-02,81.90%,w,Jun-18,,Aug-20,Individual,,,N,,,,,,,,N,,,
91, 36 months,23.05%,D,D3,Sr Category Manager,< 1 year,RENT,Source Verified,Feb-20,n,https://lendingclub.com/browse/loanDetail.action?loan_id=165982260,,debt_consolidation,Debt consolidation,841xx,UT,Feb-88,65.60%,f,Aug-20,Sep-20,Aug-20,Individual,,,N,,,,,,,,N,,,
92, 60 months,14.30%,C,C1,,< 1 year,MORTGAGE,Not Verified,Dec-19,n,https://lendingclub.com/browse/loanDetail.action?loan_id=163383964,,credit_card,Credit card refinancing,678xx,KS,Apr-06,52.20%,w,Mar-20,,Mar-20,Joint App,Not Verified,May-05,N,,,,,,,,N,,,
93, 36 months,9.16%,B,B2,Lead drain specialist,5 years,RENT,Source Verified,Mar-16,n,https://lendingclub.com/browse/loanDetail.action?loan_id=74715865,,credit_card,Credit card refinancing,553xx,MN,Aug-08,61.80%,w,Feb-19,,Aug-20,Individual,,,N,,,,,,,,N,,,
94, 36 months,10.49%,B,B3,Regional Asset Protection Manager ,10+ years,MORTGAGE,Source Verified,Jun-16,n,https://lendingclub.com/browse/loanDetail.action?loan_id=83324377,,home_improvement,Home improvement,062xx,CT,May-08,61%,w,Jul-16,,Aug-20,Individual,,,N,,,,,,,,N,,,
95, 36 months,6.92%,A,A4,IT Analyst,10+ years,RENT,Source Verified,May-15,n,https://lendingclub.com/browse/loanDetail.action?loan_id=48070707,,credit_card,Credit card refinancing,980xx,WA,Oct-96,69.40%,w,May-18,,Aug-20,Individual,,,N,,,,,,,,N,,,
96, 60 months,14.48%,C,C5,Program Director,10+ years,MORTGAGE,Verified,Dec-15,n,https://lendingclub.com/browse/loanDetail.action?loan_id=66610335,,debt_consolidation,Debt consolidation,086xx,NJ,Jan-92,49.90%,w,Jul-19,,Nov-19,Individual,,,N,,,,,,,,N,,,
97, 36 months,6.99%,A,A3,Senior Full Stack Engineer,< 1 year,RENT,Source Verified,Jan-16,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68527017,,credit_card,Credit card refinancing,946xx,CA,Aug-03,17.70%,w,Jul-17,,Jul-17,Individual,,,N,,,,,,,,N,,,
98, 36 months,19.42%,D,D3,Project Manager,10+ years,RENT,Not Verified,May-18,n,https://lendingclub.com/browse/loanDetail.action?loan_id=132379143,,credit_card,Credit card refinancing,716xx,AR,Apr-04,91.80%,w,Aug-20,Sep-20,Aug-20,Individual,,,N,,,,,,,,N,,,
99, 60 months,25.65%,D,D4,Branch Manager,2 years,RENT,Not Verified,Mar-20,n,https://lendingclub.com/browse/loanDetail.action?loan_id=168215878,,debt_consolidation,Debt consolidation,153xx,PA,Jul-09,59.70%,w,Aug-20,Sep-20,Aug-20,Individual,,,N,,,,,,,,N,,,
